experience_level,years_experience,salary_usd,experience_level_encoded
EN,1,43069,0
EX,19,191754,1
MI,4,89978,2
EN,1,69497,0
EN,0,68144,0
EX,15,245939,1
EX,12,143618,1
MI,4,118901,2
MI,4,31907,2
EX,16,165521,1
SE,7,143655,3
EN,1,18305,0
EN,0,103388,0
EX,14,216271,1
EN,0,54685,0
SE,6,101910,3
EX,19,232335,1
EX,18,196676,1
MI,2,97001,2
SE,9,141916,3
EN,1,58453,0
EN,0,65377,0
MI,3,84606,2
EN,0,61087,0
EN,0,66540,0
SE,9,148528,3
EX,18,126440,1
EN,1,117780,0
EX,10,129661,1
EN,0,46753,0
EX,12,43491,1
MI,3,120298,2
EX,13,260872,1
EN,0,71601,0
EX,15,49525,1
EN,1,82352,0
EX,12,238897,1
EN,1,64610,0
EX,12,121207,1
SE,7,118359,3
SE,8,176333,3
SE,8,137799,3
EX,16,147983,1
EN,0,44458,0
EX,17,182046,1
EN,0,89818,0
SE,8,154108,3
EN,1,77976,0
SE,5,158800,3
EX,16,269552,1
SE,6,40777,3
EN,1,40524,0
SE,8,104604,3
SE,7,108828,3
EX,10,332899,1
EX,17,282331,1
MI,3,50649,2
EN,1,74786,0
EX,11,246647,1
EX,17,219909,1
EX,13,137360,1
EN,1,80377,0
SE,6,150710,3
EX,16,165703,1
EN,0,89181,0
SE,6,179770,3
SE,8,148095,3
MI,4,86619,2
SE,6,94298,3
SE,8,196323,3
EN,0,21114,0
SE,5,149569,3
MI,2,103038,2
SE,5,118703,3
EN,1,65083,0
SE,8,143495,3
SE,7,158654,3
MI,2,76071,2
MI,2,70355,2
MI,2,100575,2
SE,9,137502,3
EN,0,76419,0
MI,4,76902,2
EN,1,89926,0
EX,14,213625,1
EX,14,160222,1
MI,4,35947,2
EN,1,53653,0
SE,7,108963,3
MI,4,77378,2
MI,4,84375,2
EX,18,212229,1
EX,14,122917,1
EN,0,75040,0
EX,11,302015,1
MI,3,100206,2
EN,0,74112,0
SE,9,52847,3
SE,9,121952,3
EN,1,22932,0
EX,12,185551,1
EX,12,144980,1
MI,4,137887,2
EN,0,26422,0
EN,0,92812,0
MI,3,60930,2
EX,18,218956,1
MI,4,75273,2
MI,2,49221,2
EX,13,199243,1
SE,8,98108,3
EX,13,251392,1
SE,8,102675,3
EX,16,289291,1
EN,1,58763,0
SE,8,119668,3
EN,1,50856,0
MI,3,98859,2
EX,14,276933,1
SE,7,154287,3
EX,11,185605,1
EX,13,147217,1
MI,2,84531,2
EX,13,188423,1
EN,1,93853,0
EX,13,173348,1
MI,4,81621,2
EX,12,171427,1
MI,4,124261,2
MI,3,78038,2
MI,2,84616,2
EN,1,56130,0
EX,15,180941,1
MI,2,36195,2
EN,1,74934,0
MI,3,92668,2
MI,4,106319,2
SE,5,119428,3
EX,18,148430,1
SE,5,97277,3
EN,0,22873,0
MI,4,78064,2
EN,1,29207,0
SE,7,171296,3
EN,1,60437,0
SE,5,106204,3
MI,4,30321,2
EX,10,189953,1
EN,0,54381,0
EN,0,88330,0
SE,7,154426,3
SE,6,119526,3
SE,6,137197,3
SE,8,117462,3
SE,7,163257,3
EX,10,185659,1
EX,16,266642,1
EN,1,73310,0
MI,3,175822,2
EN,0,82893,0
SE,7,121156,3
MI,2,85501,2
EX,19,200592,1
EX,18,157367,1
MI,4,96408,2
MI,4,41086,2
MI,2,87699,2
SE,7,173811,3
SE,5,126276,3
EX,11,242933,1
EN,1,62515,0
SE,9,96579,3
EN,0,66417,0
EN,0,66775,0
MI,4,112618,2
SE,9,172134,3
SE,6,89513,3
SE,9,124617,3
EX,13,211681,1
EN,1,70756,0
SE,8,124712,3
EN,0,81724,0
MI,4,98773,2
SE,5,123212,3
EX,11,158235,1
EX,17,243378,1
EN,1,72159,0
SE,7,117447,3
EN,0,93398,0
SE,5,130830,3
EX,12,226889,1
EN,0,81702,0
SE,6,111373,3
MI,4,57310,2
MI,3,43322,2
EN,0,95292,0
EX,10,174223,1
MI,3,84562,2
SE,7,166804,3
EN,1,32768,0
EX,10,217646,1
SE,5,144258,3
SE,8,104597,3
MI,4,95849,2
EX,18,265185,1
EN,1,63417,0
SE,8,162111,3
EN,1,51830,0
EN,0,80660,0
SE,8,183478,3
EN,1,93839,0
EN,1,63882,0
SE,6,126076,3
MI,3,91813,2
EN,1,44127,0
EN,0,70724,0
EX,16,306380,1
EN,0,59061,0
SE,6,127372,3
EX,13,324728,1
SE,7,132294,3
SE,7,110217,3
MI,4,108463,2
MI,2,60083,2
EX,11,74921,1
EX,13,229930,1
SE,9,134348,3
MI,2,84844,2
MI,2,75519,2
MI,4,83770,2
EN,1,99649,0
EX,18,288454,1
EX,15,185909,1
EN,0,82676,0
EX,11,180023,1
EN,0,85630,0
MI,4,91309,2
EN,1,73734,0
EX,17,180469,1
EN,1,55451,0
EN,0,113073,0
EN,0,68363,0
EX,16,62860,1
EX,11,176108,1
MI,2,86453,2
EX,17,170116,1
EN,1,79589,0
EX,10,190789,1
EN,0,79062,0
EX,14,212322,1
SE,6,126710,3
SE,5,135567,3
MI,2,77684,2
EN,1,87101,0
EN,0,65182,0
SE,8,155741,3
MI,2,35630,2
EN,0,92685,0
EN,0,63966,0
EX,19,193308,1
EN,0,68810,0
MI,2,133424,2
MI,3,99725,2
MI,3,92186,2
MI,4,67420,2
EN,0,63821,0
MI,2,79858,2
MI,3,92037,2
SE,6,145429,3
EN,1,49642,0
SE,9,123567,3
EN,1,110776,0
EX,16,173372,1
EN,1,66211,0
SE,5,152011,3
EX,19,227332,1
EX,15,124845,1
MI,3,88027,2
SE,6,160105,3
SE,7,45928,3
EN,1,71793,0
EX,12,250916,1
SE,6,174103,3
MI,2,109543,2
EN,0,87605,0
SE,9,146983,3
SE,8,102384,3
EX,18,261474,1
EN,0,74595,0
EX,18,96835,1
MI,2,136419,2
SE,9,62698,3
MI,4,82570,2
EN,1,63993,0
MI,4,117183,2
EX,18,228120,1
EX,10,168150,1
EX,10,251868,1
SE,9,134610,3
MI,2,39473,2
EN,1,59378,0
SE,6,126770,3
MI,2,78592,2
MI,2,29559,2
EX,12,223895,1
SE,8,170881,3
MI,4,77100,2
EN,1,61337,0
MI,2,90203,2
EX,19,95206,1
SE,7,143694,3
EX,19,205240,1
SE,5,130858,3
MI,2,109839,2
EX,14,234658,1
EX,18,212824,1
MI,4,89614,2
EX,16,230152,1
EX,17,138749,1
SE,6,151433,3
MI,2,113027,2
EN,0,75238,0
EX,12,181300,1
EX,16,180520,1
EN,1,60195,0
EN,1,85237,0
SE,8,120221,3
EX,14,196214,1
SE,6,132988,3
EN,0,77664,0
SE,9,148890,3
MI,2,95335,2
SE,5,60390,3
EN,1,113740,0
SE,5,107116,3
EX,17,116275,1
MI,4,75695,2
SE,8,123821,3
EX,19,220673,1
MI,3,69580,2
EN,1,64614,0
SE,8,100944,3
MI,4,35266,2
EN,1,79263,0
MI,4,94630,2
EX,16,290745,1
SE,9,177261,3
MI,3,79754,2
EX,17,179275,1
MI,4,120982,2
EN,1,56033,0
SE,6,43195,3
EN,0,95245,0
MI,4,68796,2
SE,9,236279,3
EN,0,67944,0
MI,4,89810,2
EX,13,153315,1
EX,10,205401,1
EN,1,57780,0
MI,2,110762,2
SE,9,157791,3
SE,8,146629,3
MI,3,67825,2
SE,9,53522,3
MI,4,96556,2
SE,9,161008,3
EN,1,71917,0
EX,13,143195,1
SE,9,135878,3
EN,1,58123,0
EX,16,85459,1
EX,10,188011,1
EN,1,76608,0
MI,4,87288,2
SE,5,114472,3
MI,4,115293,2
SE,7,85770,3
EX,16,153843,1
MI,3,119824,2
MI,4,88480,2
SE,7,86607,3
EX,18,185098,1
EN,0,42629,0
EN,0,73796,0
EX,18,145709,1
MI,4,153383,2
SE,5,138997,3
EN,0,52674,0
EN,0,46073,0
SE,9,143115,3
EX,11,133093,1
MI,2,99958,2
MI,3,100906,2
EN,0,73621,0
SE,5,131785,3
EX,15,302166,1
EX,11,230443,1
EN,0,52678,0
EX,19,219188,1
SE,8,63772,3
MI,2,63461,2
MI,4,125077,2
SE,7,157223,3
EX,19,216895,1
SE,5,133507,3
EX,17,207722,1
MI,2,91743,2
MI,2,87600,2
MI,4,78893,2
EX,15,139691,1
MI,2,71086,2
SE,7,38307,3
EX,15,236250,1
MI,4,94410,2
EX,10,239612,1
EN,1,49846,0
MI,3,90589,2
EN,0,75857,0
EX,10,229106,1
EX,15,226048,1
MI,3,74551,2
EX,18,209614,1
EN,1,62202,0
EN,1,76226,0
SE,9,186638,3
EX,15,275375,1
EN,1,59693,0
EN,1,72671,0
MI,3,103897,2
SE,6,101567,3
EN,1,74940,0
EX,13,204444,1
EX,11,264606,1
EX,17,170883,1
MI,2,152247,2
MI,4,75029,2
SE,8,44910,3
EN,0,57794,0
SE,9,155551,3
EX,13,185612,1
EN,0,69810,0
MI,3,108934,2
MI,4,116867,2
MI,2,107417,2
EN,1,60938,0
EX,14,228287,1
SE,7,149332,3
SE,6,101212,3
MI,2,136111,2
MI,3,106323,2
EX,12,156650,1
SE,5,137174,3
MI,2,106794,2
EX,15,229594,1
EN,0,72245,0
SE,6,154453,3
EN,1,64086,0
MI,3,101108,2
EN,1,88469,0
EX,15,111556,1
MI,2,95017,2
SE,7,98367,3
EN,0,92735,0
SE,7,135039,3
EX,10,205457,1
MI,2,86892,2
MI,4,100067,2
EN,1,86435,0
MI,2,69261,2
SE,5,187635,3
MI,3,150751,2
SE,8,117003,3
EN,0,81733,0
EX,11,187345,1
MI,3,143200,2
EN,1,68868,0
MI,2,79844,2
SE,9,158799,3
SE,5,125614,3
MI,3,104482,2
EX,16,196895,1
SE,8,133125,3
EX,17,182420,1
SE,8,151509,3
MI,3,69352,2
SE,9,45522,3
SE,9,43570,3
MI,3,98915,2
MI,2,132893,2
EN,1,97204,0
MI,2,127523,2
EN,0,89735,0
MI,4,97385,2
EN,0,52180,0
EX,18,233176,1
EX,17,151930,1
EX,15,166632,1
MI,2,100715,2
EN,0,74580,0
SE,5,120355,3
EX,11,129835,1
SE,5,143095,3
SE,9,162582,3
EX,13,66995,1
MI,2,99477,2
SE,9,159574,3
EN,1,23228,0
SE,5,173217,3
MI,4,80075,2
EN,1,55361,0
MI,4,93720,2
MI,3,103590,2
EX,17,166505,1
MI,2,150946,2
EX,17,218604,1
EX,16,201864,1
MI,3,77414,2
EX,12,128494,1
EX,10,120539,1
EN,1,60570,0
EN,0,88260,0
MI,2,78518,2
MI,2,97759,2
MI,2,92686,2
EN,1,109730,0
EX,18,61314,1
MI,3,34450,2
SE,5,104797,3
SE,7,143973,3
EN,0,60516,0
MI,3,110800,2
SE,5,83576,3
SE,9,150796,3
EN,1,67072,0
EN,0,51985,0
SE,5,110993,3
EN,1,94069,0
MI,4,146889,2
SE,9,155346,3
SE,6,124124,3
EX,15,137231,1
EN,1,45728,0
EN,0,61291,0
EN,0,64443,0
EN,1,66409,0
EX,10,76025,1
EX,10,211009,1
SE,6,154995,3
SE,7,44675,3
EN,1,87124,0
MI,4,122808,2
SE,8,133625,3
EN,0,71366,0
SE,5,123920,3
MI,4,134233,2
MI,4,109561,2
EN,0,71713,0
EN,0,58752,0
MI,4,118460,2
EN,0,82449,0
MI,4,80025,2
EX,10,221861,1
EX,18,284268,1
EX,12,171547,1
EX,14,323208,1
MI,2,113656,2
MI,4,77152,2
EX,13,222207,1
EX,17,196407,1
MI,4,27068,2
SE,7,99789,3
SE,7,157360,3
EN,1,73368,0
EN,1,130971,0
MI,3,42371,2
EN,1,96446,0
EX,15,253346,1
EX,14,210688,1
EN,1,20088,0
MI,4,115869,2
MI,2,27041,2
SE,8,133722,3
EN,0,75208,0
MI,4,109705,2
EN,1,55926,0
SE,7,154681,3
EX,14,72975,1
SE,8,122344,3
MI,2,78706,2
SE,8,87488,3
SE,5,109945,3
SE,9,128555,3
EX,13,83558,1
SE,8,59257,3
EX,10,211226,1
EN,0,58429,0
EN,1,30008,0
EX,18,63440,1
EN,0,75902,0
EX,11,212552,1
MI,3,105830,2
MI,2,82250,2
SE,9,106488,3
SE,6,147509,3
MI,2,107129,2
EX,19,263994,1
MI,2,115888,2
EX,14,183653,1
EX,18,136651,1
EX,13,138663,1
EX,10,156452,1
MI,4,91988,2
EX,11,170809,1
MI,4,102306,2
EN,0,66585,0
SE,5,207692,3
SE,8,129361,3
EN,0,97125,0
MI,3,97060,2
SE,9,69840,3
MI,3,86753,2
EN,1,120164,0
EN,0,63400,0
EX,17,195225,1
SE,9,121448,3
MI,4,127574,2
EN,1,28917,0
SE,5,175601,3
SE,9,110916,3
MI,4,93983,2
EX,10,323422,1
SE,5,179355,3
EN,0,85532,0
MI,3,44071,2
SE,9,130737,3
MI,4,147663,2
EX,18,269175,1
SE,5,152150,3
EN,0,18965,0
EX,14,293774,1
SE,9,116082,3
EN,1,55542,0
SE,6,136996,3
MI,3,79319,2
SE,9,105493,3
EN,0,58931,0
EX,18,269865,1
MI,3,94339,2
EX,14,295017,1
MI,2,101293,2
EN,0,32078,0
MI,3,99238,2
MI,4,87032,2
SE,5,156773,3
EN,0,61019,0
EN,1,70543,0
EN,0,65930,0
EN,1,61443,0
EX,17,389007,1
MI,2,76813,2
MI,4,98906,2
MI,3,74348,2
EN,0,91122,0
EX,14,185096,1
MI,3,94648,2
MI,3,81723,2
EX,11,249442,1
SE,8,111472,3
MI,2,107982,2
SE,5,106322,3
MI,2,97096,2
SE,7,71329,3
EX,17,204502,1
EN,1,78540,0
MI,3,102696,2
SE,6,140672,3
EX,11,306231,1
MI,3,79751,2
EN,1,59536,0
EX,14,217273,1
EN,1,61375,0
EN,0,84104,0
SE,8,119885,3
EN,1,49872,0
EX,16,83785,1
EN,1,47263,0
EN,1,82949,0
MI,4,85674,2
MI,4,66353,2
EX,18,169078,1
EX,17,181932,1
SE,6,93368,3
SE,9,112677,3
EX,12,145606,1
EN,0,60885,0
EN,0,53376,0
EN,0,75818,0
MI,3,99061,2
MI,4,107756,2
SE,9,75125,3
EN,0,96840,0
EN,0,78676,0
EX,10,206627,1
SE,9,74509,3
SE,5,147081,3
EX,15,148813,1
EX,18,194557,1
EX,18,220707,1
EN,0,83907,0
SE,5,203429,3
SE,8,121903,3
MI,3,97513,2
SE,6,229343,3
SE,8,135831,3
SE,9,229897,3
MI,4,75572,2
EX,15,160993,1
MI,3,81776,2
EN,0,81570,0
MI,4,93162,2
EX,19,227631,1
SE,5,131380,3
EN,0,33242,0
EX,14,336599,1
MI,4,132545,2
EX,10,300635,1
MI,2,94953,2
EX,11,178775,1
MI,3,74369,2
EN,1,75798,0
EX,19,186114,1
MI,4,95648,2
EX,13,359202,1
MI,2,76073,2
EN,0,49705,0
MI,4,98961,2
EN,0,73832,0
EX,16,209012,1
MI,3,114933,2
MI,3,127420,2
SE,5,144510,3
SE,9,99445,3
MI,4,101862,2
EN,0,54758,0
MI,4,93957,2
EX,17,184257,1
MI,2,65196,2
EX,12,121164,1
SE,7,93873,3
MI,3,148307,2
EX,10,145377,1
EN,1,42525,0
EX,18,282434,1
EX,15,209133,1
EX,18,250333,1
EX,18,174979,1
SE,6,101837,3
SE,5,109223,3
SE,8,160180,3
EN,1,52809,0
EX,12,218360,1
MI,2,99844,2
EX,12,191537,1
EX,14,225775,1
EN,0,83618,0
EX,14,167785,1
EN,0,25456,0
SE,6,109322,3
SE,9,100260,3
SE,5,111999,3
EN,1,70798,0
MI,4,75569,2
EX,10,173910,1
EX,11,234620,1
EN,1,54313,0
EX,14,223033,1
EX,16,235007,1
EN,0,68349,0
MI,4,88924,2
SE,5,107723,3
MI,4,100120,2
EN,1,52959,0
EN,0,88552,0
SE,6,152649,3
EX,19,89988,1
MI,4,91107,2
MI,2,144476,2
SE,6,161347,3
EX,11,140235,1
EX,16,148219,1
SE,7,105601,3
EN,1,64809,0
EN,1,78106,0
EN,1,60250,0
EN,0,54773,0
EN,0,111174,0
EN,1,67798,0
SE,5,124429,3
EN,0,61446,0
EX,14,166025,1
EX,10,200365,1
EN,0,68661,0
MI,2,128591,2
MI,2,90540,2
MI,2,98359,2
EN,1,60172,0
MI,4,59702,2
EX,11,231158,1
EN,1,56253,0
EN,1,66100,0
MI,3,43269,2
EN,0,87445,0
SE,9,125861,3
EX,14,218971,1
EX,13,192168,1
EX,19,159792,1
EX,13,228879,1
EX,13,213850,1
EX,14,161935,1
EN,1,46071,0
SE,9,138140,3
MI,2,40218,2
EN,1,69695,0
MI,4,87123,2
MI,3,88198,2
EN,0,64179,0
MI,4,85336,2
MI,2,83626,2
MI,4,103151,2
MI,3,71248,2
EN,1,85197,0
EN,0,48680,0
EN,0,104442,0
SE,7,108808,3
EX,12,222268,1
MI,2,69400,2
EX,17,146017,1
SE,7,128715,3
EX,15,291772,1
SE,5,88229,3
SE,5,125238,3
EN,0,59375,0
EX,16,200898,1
EX,18,70777,1
EX,11,174280,1
MI,3,83034,2
MI,3,80523,2
EN,0,85363,0
EN,1,84635,0
SE,7,92637,3
SE,7,135123,3
EX,13,73693,1
SE,6,62151,3
MI,3,107829,2
SE,8,149913,3
SE,9,147367,3
EX,15,143496,1
EX,10,265331,1
EN,1,72261,0
EX,12,255237,1
EN,1,61670,0
MI,3,92113,2
EX,17,291884,1
EX,18,180243,1
EX,10,57135,1
SE,7,109488,3
MI,4,124520,2
MI,4,127767,2
MI,3,80406,2
MI,4,82023,2
SE,8,128543,3
MI,2,75558,2
EN,0,72192,0
EN,1,68382,0
SE,5,37162,3
MI,2,90745,2
EN,1,68389,0
EX,16,52150,1
MI,2,70856,2
EN,0,70901,0
EN,0,18392,0
MI,4,72083,2
EN,1,80363,0
EX,10,81508,1
EN,1,58680,0
SE,6,127110,3
EN,1,35777,0
SE,7,137961,3
EN,0,93307,0
EN,0,90828,0
SE,8,42637,3
EX,19,183463,1
MI,2,110858,2
EX,13,187012,1
EX,17,267395,1
EN,0,49037,0
EX,16,231031,1
EX,14,265453,1
MI,2,82540,2
SE,6,126029,3
EX,14,224510,1
EN,1,76405,0
EN,1,57273,0
MI,2,78816,2
EX,19,129597,1
EX,16,78527,1
SE,7,147701,3
SE,6,124500,3
MI,2,30093,2
MI,4,95154,2
EX,14,125964,1
EX,15,234668,1
MI,4,72375,2
EX,15,199511,1
MI,4,82707,2
EN,0,49846,0
EX,14,231076,1
SE,7,150796,3
SE,8,116702,3
EN,0,127076,0
SE,9,138133,3
EN,1,72519,0
EX,19,202605,1
EX,12,147327,1
MI,4,35455,2
MI,4,85603,2
EX,11,174323,1
SE,5,138386,3
MI,4,86425,2
MI,2,79209,2
MI,2,93206,2
EX,11,183144,1
MI,3,115035,2
EN,0,52046,0
MI,3,27042,2
MI,4,69140,2
SE,5,54144,3
MI,3,102140,2
SE,9,159981,3
EN,1,52315,0
SE,7,174231,3
MI,3,97169,2
SE,9,143744,3
MI,2,112243,2
MI,3,127387,2
SE,6,131304,3
EN,0,71777,0
SE,7,116676,3
SE,6,126226,3
MI,4,82894,2
EN,0,38746,0
MI,2,92661,2
MI,4,62143,2
EX,14,176385,1
MI,3,81358,2
MI,2,78489,2
SE,5,157109,3
EX,17,154305,1
EN,0,61309,0
EX,13,189613,1
EX,18,214403,1
SE,7,133222,3
EN,1,62909,0
EN,1,19343,0
EX,14,222547,1
EX,11,234130,1
EX,13,215309,1
MI,4,72372,2
EX,11,167429,1
EX,16,171432,1
SE,6,162301,3
MI,3,106745,2
EX,18,169009,1
EX,15,233941,1
EX,13,179620,1
SE,6,128589,3
EN,1,76779,0
SE,6,114807,3
SE,8,126904,3
EN,0,23823,0
MI,4,91085,2
SE,6,123889,3
SE,9,116702,3
MI,2,114453,2
MI,4,127753,2
EX,14,279320,1
EX,10,193375,1
SE,8,199737,3
EN,0,53228,0
SE,6,124669,3
SE,5,139094,3
EN,1,103028,0
SE,5,140713,3
EN,1,93762,0
EN,0,60042,0
SE,8,125462,3
MI,4,79766,2
SE,9,63995,3
EN,0,67575,0
SE,5,180825,3
SE,7,46588,3
EN,0,70840,0
MI,3,40656,2
EN,0,50149,0
SE,9,128622,3
MI,4,100866,2
MI,2,98292,2
MI,4,77362,2
MI,2,78850,2
EN,1,87737,0
MI,4,91614,2
EX,14,186919,1
EN,0,70265,0
EN,1,45732,0
SE,6,36182,3
MI,4,64887,2
EX,15,309181,1
MI,3,93055,2
SE,6,186453,3
EN,0,83203,0
EX,17,188584,1
MI,4,121863,2
EN,0,53043,0
MI,2,105766,2
SE,6,127422,3
EX,13,274301,1
SE,7,107589,3
EN,1,68293,0
EX,17,257050,1
EX,13,154708,1
MI,3,80788,2
SE,7,117314,3
SE,8,117690,3
EX,11,214411,1
SE,7,155700,3
SE,7,111686,3
MI,4,65656,2
EX,10,85926,1
EX,11,130166,1
MI,4,132900,2
SE,7,156100,3
SE,9,133627,3
SE,5,88478,3
EX,12,212608,1
EN,0,58073,0
EN,1,91448,0
MI,4,95900,2
EX,18,179096,1
EN,0,59907,0
EN,1,67233,0
SE,9,203674,3
SE,7,113013,3
EX,17,239650,1
EX,14,237855,1
MI,3,90048,2
SE,5,103593,3
SE,9,118005,3
EN,1,102645,0
EX,16,213544,1
MI,2,99231,2
EX,15,189940,1
EN,0,97410,0
SE,9,115419,3
EN,1,55421,0
SE,9,174114,3
EX,14,223978,1
EX,16,239199,1
EN,1,82844,0
SE,9,122977,3
MI,4,113326,2
MI,3,90965,2
SE,5,134158,3
EN,0,62279,0
SE,6,201716,3
EX,13,165043,1
MI,4,95834,2
SE,5,131818,3
MI,2,86510,2
EN,1,83243,0
EN,0,76490,0
EX,12,239503,1
SE,5,159699,3
MI,2,127190,2
EN,1,61030,0
MI,2,30719,2
EX,15,322323,1
SE,9,239858,3
EN,1,90256,0
EN,1,96346,0
EX,18,227082,1
EX,19,174649,1
EX,14,244243,1
SE,6,140294,3
SE,5,125410,3
MI,2,102002,2
EN,1,70722,0
MI,3,92261,2
EN,0,84465,0
EN,0,73370,0
EX,12,125995,1
MI,4,109740,2
MI,3,126186,2
SE,8,114618,3
EX,15,194158,1
EN,1,68896,0
SE,8,179602,3
EX,17,197099,1
MI,3,63579,2
EX,16,141152,1
MI,4,96134,2
SE,9,127024,3
SE,7,145838,3
SE,5,130985,3
SE,5,154058,3
MI,2,97591,2
EX,19,271305,1
MI,3,98409,2
SE,6,148798,3
EX,16,279602,1
MI,3,95686,2
EN,1,64322,0
MI,2,136594,2
EN,0,82693,0
EX,19,153976,1
SE,6,139600,3
EX,17,249090,1
SE,9,40276,3
MI,4,72904,2
EN,1,64042,0
EX,15,305717,1
EN,0,85542,0
MI,2,62229,2
EX,15,183034,1
EN,0,77261,0
MI,2,101020,2
MI,4,76948,2
EX,13,81536,1
SE,9,95198,3
SE,9,164093,3
SE,8,140767,3
EX,19,102336,1
EN,0,58994,0
EN,0,51117,0
EN,1,82013,0
EX,10,204881,1
EX,13,78751,1
MI,3,130461,2
MI,4,83311,2
EN,0,57136,0
MI,2,109478,2
MI,3,86990,2
EX,11,241562,1
EN,1,21704,0
MI,3,88065,2
MI,2,52913,2
EN,1,60550,0
EN,1,57164,0
EX,19,196044,1
EX,10,205349,1
MI,2,141845,2
MI,4,111688,2
EN,1,68031,0
EN,1,107527,0
EX,13,181374,1
SE,8,118961,3
MI,4,52835,2
SE,7,70673,3
SE,8,94570,3
EN,0,64693,0
SE,8,191853,3
SE,9,114269,3
EX,15,269818,1
SE,5,120069,3
MI,3,86504,2
EX,17,120570,1
EX,17,184942,1
EN,0,89220,0
SE,8,134492,3
EX,16,137903,1
EX,16,139031,1
EX,17,202153,1
MI,3,71668,2
EN,0,89404,0
SE,8,145615,3
EX,13,207813,1
SE,8,142528,3
MI,3,68097,2
EX,17,224311,1
SE,7,114501,3
SE,5,65825,3
EX,18,196121,1
EN,1,94824,0
SE,8,48808,3
SE,5,119252,3
EN,0,77771,0
SE,6,106474,3
EX,17,233835,1
MI,2,95754,2
SE,5,111708,3
EX,14,263271,1
SE,6,201498,3
EN,0,98345,0
MI,4,47321,2
MI,3,76662,2
SE,6,135115,3
MI,4,95343,2
EN,1,19877,0
SE,8,120340,3
SE,8,105495,3
EN,0,23760,0
EN,1,81420,0
SE,6,117907,3
MI,2,96703,2
EN,1,64544,0
SE,5,113782,3
MI,2,128270,2
MI,3,65592,2
EN,0,54617,0
MI,2,82192,2
MI,4,81981,2
MI,3,76034,2
EN,0,24952,0
MI,2,44314,2
EX,10,160046,1
EX,13,224937,1
MI,3,69057,2
EN,0,65525,0
EX,10,231770,1
EX,11,189743,1
MI,2,84046,2
SE,7,58018,3
EX,10,82096,1
EX,14,228962,1
EN,0,59789,0
EN,0,65661,0
EX,11,192079,1
MI,3,98259,2
EX,18,152980,1
EN,0,52672,0
EN,1,22389,0
EN,1,62477,0
MI,3,76545,2
SE,6,86947,3
MI,4,83441,2
EX,11,300340,1
SE,6,149207,3
SE,9,160666,3
SE,7,150614,3
EN,1,55468,0
MI,4,106627,2
SE,6,151032,3
EN,0,62996,0
SE,6,124463,3
MI,2,84011,2
SE,6,108909,3
SE,7,117099,3
SE,6,243649,3
MI,4,85139,2
SE,9,149890,3
MI,3,72866,2
EN,1,26722,0
SE,8,169001,3
MI,3,71514,2
SE,6,128232,3
EN,1,58091,0
EN,0,63424,0
SE,5,65363,3
EX,18,54587,1
EX,11,248642,1
EX,17,64401,1
SE,5,92513,3
EX,11,238453,1
MI,3,99160,2
EX,13,248599,1
EX,13,236767,1
MI,2,110782,2
EX,18,302161,1
EX,12,146187,1
MI,3,94634,2
SE,8,115988,3
EX,12,192776,1
EN,1,33869,0
EN,0,77360,0
EX,13,236119,1
EX,17,99743,1
EN,1,92399,0
MI,4,110170,2
EX,13,198925,1
EX,17,170795,1
EX,19,152232,1
EX,10,308244,1
SE,7,58771,3
EN,1,69542,0
MI,2,99141,2
MI,4,115731,2
EN,0,73001,0
EX,17,354384,1
MI,3,89933,2
EX,11,165985,1
MI,4,84231,2
SE,6,123845,3
EX,19,272008,1
EX,15,338395,1
MI,4,104347,2
SE,8,129907,3
EN,1,75071,0
EN,1,89718,0
SE,6,123663,3
EX,18,232491,1
SE,7,54167,3
MI,2,89079,2
EX,19,194970,1
EX,13,228547,1
SE,7,52055,3
EX,12,57328,1
EN,1,52301,0
EN,0,23552,0
SE,8,135585,3
EX,13,281620,1
SE,5,158612,3
MI,4,104480,2
EN,1,50599,0
MI,3,74316,2
MI,3,91016,2
MI,3,83508,2
EN,0,54579,0
EX,13,147819,1
MI,3,85094,2
EN,0,18730,0
MI,3,89305,2
MI,2,67597,2
EN,0,67427,0
MI,3,80525,2
EN,0,73119,0
EN,1,76899,0
EN,0,71826,0
EN,1,101327,0
MI,2,69083,2
MI,2,90930,2
SE,8,124784,3
MI,4,112554,2
SE,6,138859,3
EX,18,155807,1
EN,1,70709,0
EN,1,20948,0
SE,7,128719,3
EN,1,73053,0
MI,4,127282,2
EX,13,195816,1
EX,14,169752,1
EX,10,105502,1
SE,6,112014,3
EX,18,247688,1
EN,1,74961,0
SE,8,115927,3
EN,0,60784,0
MI,2,88808,2
SE,6,147363,3
EX,17,49188,1
EX,18,159673,1
SE,7,113403,3
MI,2,101965,2
MI,4,75727,2
MI,2,64011,2
MI,4,108796,2
EX,11,235070,1
EX,15,180679,1
EX,19,151818,1
MI,4,106856,2
MI,2,108490,2
MI,3,71874,2
EX,19,202910,1
SE,9,118893,3
MI,4,90747,2
EN,0,55913,0
EX,16,321130,1
EN,0,48284,0
EN,1,93069,0
SE,5,154216,3
EX,10,212745,1
EX,16,148725,1
EX,17,214868,1
EN,0,48192,0
EN,1,53715,0
MI,3,79419,2
EX,12,189251,1
MI,2,82862,2
EX,12,312798,1
EN,0,104615,0
MI,2,42852,2
MI,3,83129,2
EN,0,64763,0
SE,6,140525,3
SE,8,164731,3
MI,4,58860,2
MI,4,117441,2
